SIC,SIC0,FF_12,FF_48
100,100,1,1
110,110,1,1
112,112,1,1
115,115,1,1
116,116,1,1
120,120,1,1
130,130,1,1
131,131,1,1
133,133,1,1
139,139,1,1
161,161,1,1
170,170,1,1
173,173,1,1
174,174,1,1
179,179,1,1
180,180,1,1
181,181,1,1
189,189,1,1
190,190,1,1
191,191,1,1
200,200,1,1
210,210,1,1
211,211,1,1
212,212,1,1
214,214,1,1
241,241,1,1
250,250,1,1
251,251,1,1
254,254,1,1
270,270,1,1
272,272,1,1
279,279,1,1
400,400,1,48
530,530,1,48
700,700,1,1
710,710,1,1
711,711,1,1
720,720,1,1
721,721,1,1
723,723,1,1
740,740,1,1
742,742,1,1
750,750,1,1
752,752,1,1
759,759,1,1
762,762,1,1
780,780,1,1
781,781,1,1
782,782,1,1
783,783,1,1
790,790,1,1
800,800,1,17
810,810,1,17
811,811,1,17
830,830,1,17
831,831,1,17
851,851,1,17
900,900,1,48
910,910,1,1
912,912,1,1
913,913,1,1
919,919,1,1
920,920,1,6
921,921,1,6
999,999,1,6
1000,1000,12,28
1010,1010,12,28
1011,1011,12,28
1020,1020,12,28
1021,1021,12,28
1024,1024,12,28
1030,1030,12,28
1031,1031,12,28
1040,1040,12,27
1041,1041,12,27
1044,1044,12,27
1051,1051,12,28
1060,1060,12,28
1061,1061,12,28
1070,1070,12,28
1080,1080,12,28
1081,1081,12,28
1090,1090,12,28
1091,1091,12,28
1092,1092,12,28
1094,1094,12,28
1099,1099,12,28
1100,1100,12,28
1101,1101,12,28
1110,1110,12,28
1111,1111,12,28
1112,1112,12,28
1154,1154,12,48
1200,1200,4,29
1210,1210,4,29
1211,1211,4,29
1220,1220,4,29
1221,1221,4,29
1222,1222,4,29
1226,1226,4,29
1241,1241,4,29
1300,1300,4,30
1310,1310,4,30
1311,1311,4,30
1320,1320,4,30
1321,1321,4,30
1330,1330,4,30
1372,1372,4,30
1374,1374,4,30
1380,1380,4,30
1381,1381,4,30
1382,1382,4,30
1389,1389,4,30
1390,1390,4,48
1400,1400,12,28
1411,1411,12,28
1420,1420,12,28
1422,1422,12,28
1423,1423,12,28
1429,1429,12,28
1442,1442,12,28
1446,1446,12,28
1450,1450,12,28
1459,1459,12,28
1470,1470,12,28
1474,1474,12,28
1477,1477,12,28
1479,1479,12,28
1480,1480,12,28
1481,1481,12,28
1490,1490,12,28
1497,1497,12,28
1499,1499,12,28
1500,1500,12,18
1510,1510,12,18
1511,1511,12,18
1520,1520,12,18
1521,1521,12,18
1522,1522,12,18
1524,1524,12,18
1530,1530,12,18
1531,1531,12,18
1540,1540,12,18
1541,1541,12,18
1542,1542,12,18
1590,1590,12,48
1600,1600,12,18
1610,1610,12,18
1611,1611,12,18
1620,1620,12,18
1621,1621,12,18
1622,1622,12,18
1623,1623,12,18
1629,1629,12,18
1630,1630,12,18
1680,1680,12,18
1700,1700,12,18
1710,1710,12,18
1711,1711,12,18
1730,1730,12,18
1731,1731,12,18
1740,1740,12,18
1742,1742,12,18
1743,1743,12,18
1752,1752,12,18
1761,1761,12,18
1780,1780,12,18
1781,1781,12,18
1790,1790,12,18
1791,1791,12,18
1794,1794,12,18
1795,1795,12,18
1796,1796,12,18
1799,1799,12,18
2000,2000,1,2
2002,2002,1,2
2010,2010,1,2
2011,2011,1,2
2013,2013,1,2
2015,2015,1,2
2016,2016,1,2
2017,2017,1,2
2020,2020,1,2
2021,2021,1,2
2022,2022,1,2
2023,2023,1,2
2024,2024,1,2
2026,2026,1,2
2030,2030,1,2
2031,2031,1,2
2032,2032,1,2
2033,2033,1,2
2034,2034,1,2
2035,2035,1,2
2037,2037,1,2
2038,2038,1,2
2040,2040,1,2
2041,2041,1,2
2042,2042,1,2
2043,2043,1,2
2044,2044,1,2
2045,2045,1,2
2046,2046,1,2
2047,2047,1,9
2048,2048,1,1
2050,2050,1,2
2051,2051,1,2
2052,2052,1,2
2060,2060,1,2
2061,2061,1,2
2062,2062,1,2
2063,2063,1,2
2064,2064,1,3
2065,2065,1,3
2066,2066,1,3
2067,2067,1,3
2068,2068,1,3
2070,2070,1,2
2075,2075,1,2
2077,2077,1,2
2079,2079,1,2
2080,2080,1,4
2082,2082,1,4
2083,2083,1,4
2084,2084,1,4
2085,2085,1,4
2086,2086,1,3
2087,2087,1,3
2090,2090,1,2
2091,2091,1,2
2092,2092,1,2
2095,2095,1,2
2096,2096,1,3
2097,2097,1,3
2098,2098,1,2
2099,2099,1,2
2100,2100,1,5
2110,2110,1,5
2111,2111,1,5
2120,2120,1,5
2121,2121,1,5
2131,2131,1,5
2190,2190,1,5
2192,2192,1,5
2200,2200,1,16
2210,2210,1,16
2211,2211,1,16
2220,2220,1,16
2221,2221,1,16
2230,2230,1,16
2231,2231,1,16
2240,2240,1,16
2241,2241,1,16
2250,2250,1,16
2251,2251,1,16
2252,2252,1,16
2253,2253,1,16
2254,2254,1,16
2257,2257,1,16
2258,2258,1,16
2259,2259,1,16
2260,2260,1,16
2261,2261,1,16
2262,2262,1,16
2269,2269,1,16
2270,2270,1,16
2271,2271,1,16
2272,2272,1,16
2273,2273,1,16
2279,2279,1,16
2280,2280,1,16
2281,2281,1,16
2282,2282,1,16
2283,2283,1,16
2284,2284,1,16
2290,2290,1,16
2292,2292,1,16
2294,2294,1,16
2295,2295,1,16
2297,2297,1,16
2298,2298,1,16
2299,2299,1,16
2300,2300,1,10
2310,2310,1,10
2311,2311,1,10
2320,2320,1,10
2321,2321,1,10
2322,2322,1,10
2323,2323,1,10
2325,2325,1,10
2326,2326,1,10
2327,2327,1,10
2328,2328,1,10
2329,2329,1,10
2330,2330,1,10
2331,2331,1,10
2335,2335,1,10
2337,2337,1,10
2339,2339,1,10
2340,2340,1,10
2341,2341,1,10
2342,2342,1,10
2352,2352,1,10
2360,2360,1,10
2361,2361,1,10
2363,2363,1,10
2369,2369,1,10
2371,2371,1,10
2379,2379,1,10
2380,2380,1,10
2384,2384,1,10
2385,2385,1,10
2387,2387,1,10
2389,2389,1,10
2390,2390,1,10
2391,2391,1,9
2392,2392,1,9
2393,2393,1,16
2394,2394,1,16
2395,2395,1,16
2396,2396,1,23
2399,2399,1,16
2400,2400,12,17
2410,2410,12,17
2411,2411,12,17
2420,2420,12,17
2421,2421,12,17
2426,2426,12,17
2429,2429,12,17
2430,2430,12,17
2431,2431,12,17
2434,2434,12,17
2435,2435,12,17
2436,2436,12,17
2439,2439,12,17
